ID,beta,alpha,lambda,weight,w_reg,pi,rho,BIC,AIC
1,3.3784,0.0029,1,0,-0.102382951,0.0138,-0.0199,171.5328,183.5328
2,0.5128,0.3439,0.956,0.7308,0.076415139,-0.0759,0.0317,142.1792,154.1792
3,0.3663,1,0,0.9683,0.251383011,0.0624,0.9378,132.6127,144.6127
4,0.5759,1,1,0.9089,0.371084375,0.6983,0.3443,109.313,121.313
5,0.544,1,0.7285,1,0.651383565,0.7276,-0.2558,95.0799,107.0799
6,0.5696,0.7825,1,0.7912,0.387505723,0.7384,-0.3175,95.3101,107.3101
7,0.4993,0.5257,1,0.3974,0.107345796,-0.0805,-0.3325,119.734,131.734
8,0.5587,1,0.6662,1,0.499175095,0.2966,-0.5078,96.4719,108.4719
9,0.8529,1,0,0.8538,,0.0511,0.0926,63.4282,75.4282
10,0.6921,0.4827,0,0.8805,0.375312643,-0.1646,-0.2103,124.9503,136.9503
11,0.8541,1,0,0.9243,0.461790588,0.3835,0.0211,87.652,99.652
12,0.8823,1,0.7812,0.6873,0.42298755,0.4489,-0.4956,60.5054,72.5054
13,3.3027,0.0017,0,0.7111,0.099238199,0.292,-0.0145,144.9264,156.9264
14,0.4352,0.3417,1,0,-0.027957117,0.6281,-0.2073,154.7395,166.7395
15,0.5767,1,0,0.6815,0.447883359,0.2567,-0.9718,108.6093,120.6093
16,0.861,0.4213,0,0.9217,0.331313448,0.0638,0.5695,60.986,72.986
17,3.6821,0.0544,0,0.1415,,0.1239,-0.0089,110.578,122.578
18,0.5422,0.6547,0,0.9087,0.375796865,0.2869,-0.0219,108.1117,120.1117
19,0.6649,0.3014,0.3623,1,0.11637783,0.3251,0.0515,100.4525,112.4525
20,0.7866,1,0,0.9328,0.730436746,0.3305,0.3272,80.9485,92.9485
21,0.5549,1,0.8452,0.3535,0.248252243,-0.9248,-0.3337,125.3864,137.3864
22,1.3888,1,1,0.8444,0.900632936,-1.166,0.437,61.1734,73.1734
23,0.5781,1,0.4962,0.6265,0.224708325,-0.1061,-0.4073,103.6593,115.6593
24,0.7019,1,0.3818,1,0.556431951,-0.0082,-0.2859,75.7083,87.7083
25,0.842,1,0.4471,1,0.584152461,-0.8989,0.3459,91.6568,103.6568
26,0.7245,1,0.6595,0.5666,0.597844012,-0.3895,-0.16,107.1865,119.1865
27,0.4116,1,0.3271,1,0.420472002,-1.4205,-0.1312,131.4843,143.4843
28,0.5754,1,0.4242,1,0.447932949,-0.2982,0.2447,112.5322,124.5322
29,1.4831,0.1121,0,0.6729,0.468609468,0.255,0.5745,98.5289,110.5289
30,0.6935,0.8833,1,0.7002,0.378544918,-0.2696,0.4731,105.9101,117.9101
31,0.4134,1,1,0.742,0.341594708,0.8182,-0.1702,133.223,145.223
32,0.4787,1,0.4461,1,0.525161365,0.0071,0.8769,103.0227,115.0227
33,0.4045,0.9644,1,0.4191,0.129178181,-0.3828,0.2777,103.9002,115.9002
34,0.7159,1,0.6594,1,0.628482277,-0.1279,0.3126,84.276,96.276
35,0.693,1,1,0.7396,0.407293059,0.2615,-0.2621,109.0631,121.0631
36,0.7396,1,0.6188,1,0.597383541,-0.4847,-0.3111,99.0807,111.0807
37,3.5921,0.0841,0.4518,0,0.047576602,0.0543,-0.1159,95.8405,107.8405
38,3.3622,0.0012,0.1476,0.9999,0.025090851,0.0937,-0.0054,151.5887,163.5887
