ID,beta,alpha,lambda,weight,w_reg,pi,rho,BIC,AIC
1,3.4085,0.0118,0,0,0.017434404,0.0379,0.0141,163.1686,175.1686
2,3.6009,0.0192,0.0729,0.0086,-0.018253366,-0.0091,0.0895,145.9213,157.9213
3,0.8912,0.5518,0.9655,0.5946,0.303507672,0.9717,-0.6191,110.3442,122.3442
4,0.4901,1,0,0.9562,0.311619917,-0.5599,0.2428,120.3159,132.3159
5,0.4296,1,1,0.9517,0.381001228,0.6603,-0.9704,117.3212,129.3212
6,0.3347,1,1,0.395,0.131638783,0.3885,-0.8837,138.5786,150.5786
7,0.5496,1,1,0.5405,0.651192928,0.2553,-0.16,91.5752,103.5752
8,0.5172,1,0.6869,1,0.267523121,-0.0832,-0.5889,130.7235,142.7235
9,3.3842,0.0182,0.6604,0,,0.1214,0.0132,131.6886,143.6886
10,0.427,0.6695,0,0.9134,0.60124374,1.4282,-0.6207,125.681,137.681
11,0.7303,0.4744,0.2535,0.8963,0.420079072,-0.1033,-0.2734,111.1579,123.1579
12,0.5444,1,0,0.898,0.428403004,-0.248,0.0836,105.8563,117.8563
13,1.0987,0.2663,1,0.8291,0.632879747,-0.1293,-0.6082,51.0267,63.0267
14,3.6668,0.0145,1,0,0.121322063,0.0627,0.0129,149.5886,161.5886
15,0.7025,0.6782,0,0.8677,0.320802576,0.2366,-0.0053,112.4004,124.4004
16,3.3269,0.0427,0,0,-0.030719365,-0.1265,0.0021,142.6191,154.6191
17,0.5163,0.4109,1,0.1633,,-0.5481,0.8338,120.7309,132.7309
18,0.4109,1,1,0.9574,0.459953151,0.6213,0.0768,124.8538,136.8538
19,2.2971,0.0212,0,0.8087,0.369004433,0.1478,0.0187,150.5468,162.5468
20,0.5758,1,0.6185,1,0.394974163,-0.3369,0.1985,116.377,128.377
21,0.5214,0.7155,1,0.3552,0.238447263,-0.0778,-0.4116,117.2674,129.2674
22,0.4666,1,0.7376,1,0.296892412,-0.3248,0.1055,123.5938,135.5938
23,0.5625,0.989,1,0.6039,0.476359018,-0.2711,0.278,93.6747,105.6747
24,1.2768,1,1,0.9689,0.877858839,-0.0346,-0.2166,45.7756,57.7756
25,3.6639,0.0279,0.0239,0,0.119984533,0.0786,0.0417,161.5569,173.5569
26,0.5189,1,1,0.5404,0.438983052,-0.356,-0.1261,124.6397,136.6397
27,0.3501,1,1,0.6071,0.149914031,-0.1937,-0.685,146.3045,158.3045
28,0.5299,1,0,0.8248,0.390927177,-0.6364,-0.2237,104.685,116.685
29,1.2652,0.3402,0.2965,1,0.475666066,1.3248,-0.3668,62.2108,74.2108
30,0.7961,1,0.1181,0.9038,0.598864354,-0.4627,0.0911,96.4523,108.4523
31,0.3529,1,0.7023,1,0.273280413,0.6118,1.021,138.8227,150.8227
32,0.4639,1,1,0.9251,0.675546193,1.6845,-1.0915,99.6117,111.6117
33,3.4528,0.005,1,0,0.194871974,0.1823,-0.04,146.5813,158.5813
34,0.7627,1,1,0.6824,0.49391001,0.1696,-0.2075,97.0642,109.0642
35,0.392,1,0.3493,1,0.448583895,0.031,-0.5194,120.1945,132.1945
36,0.6436,1,0,0.8867,0.558450097,-0.1319,-0.2681,90.9988,102.9988
37,0.4586,0.9321,0,0.4898,0.229613294,0.3501,0.0928,141.5084,153.5084
38,0.5565,1,0.5815,1,0.2620391,-0.6562,-0.3064,123.2779,135.2779
